Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,6752174,-,b'South Australia',b'Australia',-27.26,135.07,9,162,9,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,Temperature,DNI,GHI,DHI
2020,1,1,0,0,23.6,0,0,0
2020,1,1,0,10,23.5,0,0,0
2020,1,1,0,20,23.400000000000002,0,0,0
2020,1,1,0,30,23.3,0,0,0
2020,1,1,0,40,23.200000000000003,0,0,0
2020,1,1,0,50,23.1,0,0,0
2020,1,1,1,0,23,0,0,0
2020,1,1,1,10,22.900000000000002,0,0,0
2020,1,1,1,20,22.8,0,0,0
2020,1,1,1,30,22.700000000000003,0,0,0
2020,1,1,1,40,22.6,0,0,0
2020,1,1,1,50,22.5,0,0,0
2020,1,1,2,0,22.400000000000002,0,0,0
2020,1,1,2,10,22.3,0,0,0
2020,1,1,2,20,22.1,0,0,0
2020,1,1,2,30,22,0,0,0
2020,1,1,2,40,21.900000000000002,0,0,0
2020,1,1,2,50,21.8,0,0,0
2020,1,1,3,0,21.700000000000003,0,0,0
2020,1,1,3,10,21.6,0,0,0
2020,1,1,3,20,21.400000000000002,0,0,0
2020,1,1,3,30,21.3,0,0,0
2020,1,1,3,40,21.1,0,0,0
2020,1,1,3,50,21,0,0,0
2020,1,1,4,0,20.900000000000002,0,0,0
2020,1,1,4,10,20.900000000000002,0,0,0
2020,1,1,4,20,21,0,0,0
2020,1,1,4,30,21,0,0,0
2020,1,1,4,40,21,0,0,0
2020,1,1,4,50,21.1,0,0,0
2020,1,1,5,0,21.1,0,0,0
2020,1,1,5,10,21.700000000000003,0,0,0
2020,1,1,5,20,22.3,97,18,15
2020,1,1,5,30,22.900000000000002,211,39,25
2020,1,1,5,40,23.5,292,64,36
